session_id,object_position,heading,target,value,time,view_point
4,023,180,135,153.9704,3.29300000000512,180
4,256,180,135,170.2176,5.13100000000122,180
4,368,180,180,168.6901,12.2540000000008,180
4,052,180,180,354.8056,9.2219999999943,180
4,174,180,225,45,6.70799999999872,180
4,024,180,225,45,10.3830000000016,180
4,382,180,270,292.3801,2.90199999999459,180
4,684,180,270,5.194429,6.36899999999878,180
4,380,180,315,307.875,20.4689999999973,180
4,682,180,315,141.789,2.06199999999808,180
4,572,225,0,18.43495,5.11599999999453,180
4,570,225,0,161.565,7.39100000000326,180
4,140,225,45,225,13.2019999999975,180
4,573,225,45,158.9625,5.75499999999738,180
4,142,225,90,290.2249,7.59500000000116,180
4,576,225,90,290.2249,10.7319999999963,180
4,148,225,135,181.4688,27.5240000000049,180
4,578,225,135,161.565,4.22899999999936,180
4,147,225,180,177.7094,3.29400000000169,180
4,376,225,180,181.4688,4.55099999999948,180
4,014,225,225,18.43495,4.27899999999499,180
4,357,225,225,18.43495,6.20300000000134,180
4,574,225,270,177.7094,7.82300000000396,180
4,371,225,270,302.9052,14.2790000000023,180
4,370,225,315,161.565,1.06300000000192,180
4,571,225,315,179.029,5.08599999999569,180
4,873,270,0,90.22469,6.71899999999732,180
4,643,270,0,144.9263,6.09999999999854,180
4,543,270,45,295.56,6.31800000000658,180
4,543,270,45,45,9.13999999999942,180
4,543,270,45,295.56,6.31800000000658,180
4,543,270,45,45,9.13999999999942,180
4,546,270,90,147.9074,5.70599999999831,180
4,213,270,90,18.43495,4.41900000000169,180
4,548,270,135,351.8699,16.2540000000008,180
4,216,270,135,155.9245,8.33999999999651,180
4,648,270,180,290.2249,10.0480000000025,180
4,318,270,180,139.7637,5.5570000000007,180
4,547,270,225,180.971,7.45000000000437,180
4,317,270,225,180.971,16.6739999999991,180
4,654,270,270,290.2249,7.89800000000105,180
4,321,270,270,161.565,7.55800000000454,180
4,642,270,315,45,6.25500000000466,180
4,310,270,315,153.9704,4.96699999999692,180
4,741,315,0,18.43495,8.19000000000233,180
4,510,315,0,161.565,5.69099999999889,180
4,743,315,45,163.9264,6.02199999999721,180
4,513,315,45,18.43495,7.85099999999511,180
4,748,315,90,8.130102,4.27500000000146,180
4,516,315,90,177.7094,11.5709999999963,180
4,518,315,135,181.4688,10.9720000000016,180
4,518,315,135,18.43495,8.59500000000116,180
4,518,315,135,181.4688,10.9720000000016,180
4,518,315,135,18.43495,8.59500000000116,180
4,628,315,180,262.1847,7.27300000000105,180
4,306,315,180,359.7753,18.8309999999983,180
4,517,315,225,45,3.52500000000146,180
4,305,315,225,161.565,4.18699999999808,180
4,302,315,270,167.5741,5.91100000000006,180
4,624,315,270,307.875,6.04500000000553,180
4,851,315,315,161.565,8.81399999999849,180
4,815,315,315,161.565,3.32700000000477,180
